"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|CH","Generation - Solar  [MW] Intraday / BZN|CH","Generation - Solar  [MW] Current / BZN|CH","Generation - Wind Offshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Offshore  [MW] Intraday / BZN|CH","Generation - Wind Offshore  [MW] Current / BZN|CH","Generation - Wind Onshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Onshore  [MW] Intraday / BZN|CH","Generation - Wind Onshore  [MW] Current / BZN|CH"
"08.01.2020 12:00 - 08.01.2020 13:00","60","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 13:00 - 08.01.2020 14:00","46","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 14:00 - 08.01.2020 15:00","30","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 15:00 - 08.01.2020 16:00","10","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 16:00 - 08.01.2020 17:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 17:00 - 08.01.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 18:00 - 08.01.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 19:00 - 08.01.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 20:00 - 08.01.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 21:00 - 08.01.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 22:00 - 08.01.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"08.01.2020 23:00 - 09.01.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 00:00 - 09.01.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 01:00 - 09.01.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 02:00 - 09.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 03:00 - 09.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 04:00 - 09.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 05:00 - 09.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 06:00 - 09.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 07:00 - 09.01.2020 08:00","3","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 08:00 - 09.01.2020 09:00","18","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 09:00 - 09.01.2020 10:00","42","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 10:00 - 09.01.2020 11:00","68","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 11:00 - 09.01.2020 12:00","72","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 12:00 - 09.01.2020 13:00","67","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 13:00 - 09.01.2020 14:00","55","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"09.01.2020 14:00 - 09.01.2020 15:00","38","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
